composer,piece,top_recommendation,date,reviewer,podcast
"Janáček, Leoš",Sinfonietta,"Bavarian Radio Symphony Orchestra, Rafael Kubelik (conductor)
(recorded 1970)
DG 439 437-2 (CD)",2001-10-06T00:00:00Z,NA,NA
"Schumann, Robert","Faschingsschwank aus Wien, Op 26","Arturo Benedetti Michelangeli (piano)
(recorded 1957)
TESTAMENT SBT 2088 (2-CD)",2001-09-29T00:00:00Z,NA,NA
"Purcell, Henry",Dido and Aeneas,"Lynne Dawson (Dido), Gerald Finley (Aeneas), Rosemary Joshua (Belinda), Susan Bickley (Sorceress), Clare College Chapel Choir, Orchestra of the Age of Enlightenment, René Jacobs (conductor)
(recorded 1998)
HARMONIA MUNDI HMC 901683 (CD)",2001-09-22T00:00:00Z,NA,NA
"Brahms, Johannes",Piano Concerto No 2,"Solomon (piano), Philharmonia Orchestra, Issay Dobrowen (conductor)
(recorded 1947, mono)
TESTAMENT SBT 1042 (CD)",2001-09-15T00:00:00Z,NA,NA
"Elgar, Edward","Variations on an Original Theme (""Enigma"")","London Symphony Orchestra, Sir Adrian Boult (conductor) (rec. 1970)
EMI CDM 7 64015-2 (CD)",2001-07-14T00:00:00Z,Rob Cowan,NA
"Bruch, Max",Violin Concerto No 1 in G mino,"Anne-Sophie Mutter (violin),  Berlin Philharmonic, Herbert von Karajan (conductor)
(rec. 1980)
DG 463 641-2 (CD)",2001-07-07T00:00:00Z,NA,NA
"Tippett, Michael",Fantasia concertante on a theme of Corelli,"Yehudi Menuhin & Robert Masters (violins), Derek Simpson (cello), Bath Festival Orchestra, Sir Michael Tippett (conductor) (rec. 1964)
HMV CLASSICS 5 73049-2 (CD)",2001-06-30T00:00:00Z,NA,NA
"Brahms, Johannes",Piano Quartet No 1 in G minor Op 25,"Emil Gilels (piano), members of the Amadeus Quartet: Norbert Brainin (violin), Peter Schidlof (viola), Martin Lovett (cello)
(rec. 1970)
DG 447 407-2 (CD)",2001-06-23T00:00:00Z,NA,NA
"Stravinsky, Igor",The Rake's Progress,"Don Garrard (Truelove), Judith Raskin (Anne), Alexander Young (Tom Rakewell), John Reardon (Nick Shadow), Jean Manning (Mother Goose), Regina Sarfaty (Baba the Turk), Kevin Miller (Sellem), Peter Tracey (Keeper), Colin Tilney (harpsichord), The Sadler's Wells Opera Chorus, Royal Philharmonic Orchestra, Igor Stravinsky (conductor) (rec. 1964)
SONY CLASSICAL SM2K 46299 (2-CD)",2001-06-16T00:00:00Z,NA,NA
"Falla, Manuel de",Nights in the Gardens of Spain,"Clifford Curzon (piano), National Symphony Orchestra, Enrique Jorda (conductor)
(rec. 1945)
DUTTON LABORATORIES CDK 1202 (CD)",2001-06-09T00:00:00Z,NA,NA
"Wolf, Hugo",Italian Songbook,"Felicity Lott (soprano),
Peter Schreier (tenor),
Graham Johnson (piano) 
(rec. 1993/4)
HYPERION CDA 66760 S (CD)",2001-06-02T00:00:00Z,NA,NA
"Bach, Johann Sebastian","Partitas and Sonatas for Solo Violin
BWV 1001-1006","Rachel Podger (baroque violin)                                                         
VOL 1 CHANNEL CLASSICS CCS 12198 (CD)
VOL 2 CHANNEL CLASSICS CCS 14498 (CD)",2001-05-26T00:00:00Z,NA,NA
"Rossini, Gioachino",Petite Messe Solennelle,"Mireille Capelle (soprano), Catherine Patriasz (contralto), Joseph Cornwell (tenor), Jelle Draijer (baritone), Wyneke Jordans (Erard piano), Leo van Doeselaar (harmonium), Netherlands Chamber Choir, Jos van Immerseel (Erard piano/director) (rec. 1986)
ACCENT ACC 68639/40 D (2-CD)",2001-05-19T00:00:00Z,Ivan Hewett,NA
"Haydn, Joseph","Symphony No 103 in Eb  major ""Drum Roll""","Royal Concertgebouw Orchestra, Sir Colin Davis (conductor) (rec. 1976)
PHILIPS 442 611-2 (2-CD)",2001-05-15T00:00:00Z,NA,NA
"Porter, Cole","Kiss me, Kate","Josephine Barstow, Thomas Hampson, Kim Criswell, George Dvorsky, Karla Burns, Damon Evans, Robert Nichols, David Garrison, Davis Gaines, John Mark Ainsley, Simon Green, Ambrosian Chorus, London Sinfonietta, John McGlinn (conductor)
(rec. 1989)
EMI CDS 7 54033-2 (2-CD)",2001-05-05T00:00:00Z,David Benedict,NA
"Bartók, Béla","Music for Strings, Percussion & Celesta, Sz.106","Salzburg Camerata Academica,  
Sandor Vegh (conductor)
ORFEO C 461 971 B (CD)",2001-04-28T00:00:00Z,NA,NA
"Schumann, Robert","Davidsbündlertänze, Op 6","Benjamin Frith (piano) (rec. 1991)
NAXOS 8.550493 (CD)",2001-04-21T00:00:00Z,NA,NA
"Mascagni, Pietro",Cavalleria Rusticana,"Montserrat Caballé (Santuzza), José Carreras (Turiddu), Matteo Manuguerra (Alfio), Julia Hamari (Lola), Astrid Varnay (Mamma Lucia), Southend Boys' Choir, Ambrosian Opera Chorus, Philharmonia Orchestra, Riccardo Muti (conductor)
(rec. 1979)
CMS 7 63650-2 (2-CD)",2001-04-14T00:00:00Z,Rodney Milnes,NA
"Prokofiev, Sergei",Piano Concerto No 3 in C major,"William Kapell (piano), Dallas Symphony Orchestra, Antal Dorati (conductor)
(rec. 1949)
(mono)
PHILIPS 456 853-2 (2-CD)",2001-04-07T00:00:00Z,David Nice,NA
"Vaughan Williams, Ralph",On Wenlock Edge,"Robert Tear (tenor), City of Birmingham Symphony Orchestra, Sir Simon Rattle 
EMI CDM 7 64731-2 (CD)",2001-03-31T00:00:00Z,Graeme Kay,NA
"Handel, George Frideric",Israel in Egypt,"Nancy Argenta (soprano), Emily van Evera (soprano), Timothy Wilson (alto), Anthony Rolfe Johnson (tenor), David Thomas (bass), Jeremy White (bass), Taverner Choir & Players, Andrew Parrott (director)
VIRGIN CLASSICS VMD 5 61350-2 (2-CD)",2001-03-24T00:00:00Z,George Pratt,NA
"Shostakovich, Dmitri",Symphony No 4 in C minor,"City of Birmingham Symphony Orchestra, Sir Simon Rattle (conductor)
EMI CDC 5 55476-2 (CD)",2001-03-17T00:00:00Z,Nick Morgan,NA
"Ravel, Maurice",Introduction and Allegro,"The Melos Ensemble, Osian Ellis (harp) 
DECCA 421 154-2 (CD)",2001-03-10T00:00:00Z,NA,NA
