composer,piece,top_recommendation,date,reviewer,podcast
"Clarke, Rebecca",Viola Sonata,"Tabea Zimmermann (viola), Kirill Gerstein (piano)
MYRIOS MYR004 (CD)",2015-10-17T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p035f8gb
"Haydn, Joseph",Trumpet Concerto in E flat major,"Crispian Steele-Perkins (trumpet), Neil Black, James Brown (oboes), English Chamber Orchestra, Anthony Halstead (conductor)
ALTO ALC1063 (CD)",2015-10-10T00:00:00Z,Hannah French,http://www.bbc.co.uk/programmes/p034w41d
"Verdi, Giuseppe",Messa da Requiem,"Anja Harteros (soprano), Sonia Ganassi (mezzo), Rolando Villazon (tenor), Rene Pape (bass), Orchestra e Coro dell’Accademia di Santa Cecilia, Antonio Pappano (conductor)
EMI 6989362 (2CD)",2015-10-03T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p0346btd
"Beethoven, Ludwig Van",Symphony No 4 in B flat major Op 60,"Zurich Tonhalle Orchestra,
David Zinman (conductor)
ARTE NOVA 74321592142 (CD)",2015-09-19T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p032w3r7
"Brahms, Johannes",Cello Sonata No 2 in F major Op 99,"Miklos Perenyi (cello), 
Zoltan Kocsis (piano)
HUNGAROTON HCD12123",2015-07-11T00:00:00Z,Katy Hamilton,http://www.bbc.co.uk/programmes/p02vnfsr
"Rodgers, Richard",Carousel,"Original Motion Picture Soundtrack
Gordon Mcrae (Billy Bigelow), Shirley Jones (Julie Jordan), 20th Century Orchestra, Alfred Newman (conductor)
Angel 7243 5 27352 2",2015-07-04T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02w9fpp
"Britten, Benjamin","Les Illuminations (The Illuminations), Op 18","Karina Gauvin (soprano), Les Violons du Roy, Jean-Marie Zeitouni
ATMA ACD22601 (CD)",2015-06-27T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02vn6xv
"Wagner, Richard",Die Meistersinger von Nürnberg,"Thomas Stewart (Hans Sachs), Sandor Konya (Walther von Stolzing), Gundula Janowitz (Eva), Thomas Hemsley (Beckmesser), Gerhard Unger (David), Brigitte Fassbaender (Magdalene), Franz Crass (Pogner), Keith Engen (Kothner), Raimund Grumbach (Nachtwachter), Chor des Bayerischen Rundfunks, Symphonieorchester des Bayerischen Rundfunks, Rafael Kubelik (conductor)
ARTS 430202 (4CD)",2015-06-20T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02v3krb
"Monteverdi, Claudio",Il ritorno d'Ulisse in patria (SV 325),"Anizio Zorzi Giustiniani (Ulisse), Jose Maria Lo Monaco (Penelope), Roberta Mameli (Minerva), Makoto Sakurada (Telemaco, Eurimaco), Salvo Vitale (Nettuno), Giorgia Milanesi (Giunone) Francesca Cassinari, Vincenzo Di Donato, Marco Bussi, Alessio Tossi, Roberto Balconi, Paolo Antognetti, Francesca Lombardi, Luca Dordolo, Marta Fumagall, La Venexiana, Claudio Cavina (conductor)
GLOSSA GCD920920 (3CD)",2015-06-13T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tw5nn
"Nielsen, Carl",Symphony No 3 'Sinfonia espansiva',"Gothenburg Symphony Orchestra, Myung-Whun Chung (conductor)
BIS BISCD321 (CD)",2015-06-06T00:00:00Z,Andrew Mellor,http://www.bbc.co.uk/programmes/p02tmn5t
"Mendelssohn, Felix",Piano Trio No 1 in D minor,"Julia Fischer (violin), Daniel Muller-Schott (cello), Jonathan Gilad (piano)
PENTATONE PTC5186085 (Hybrid SACD)",2015-05-30T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmw2h
"Offenbach, Jacques",The Tales of Hoffmann,"Placido Domingo (Hoffmann), Catherine Malfitano (Olympia, Antonia and Giulietta), Ann Murray (Niklausse, Hoffmann's Muse), Jose van Dam(Lindorf, Coppelius, Miracle, Dapertutto), Remy Corazza (Andres, Cochenille, Frantz, Pitichinaccio), Kurt Rydl (Luther, Crespel), Jocelyne Taillon (Antonia's mother), Gerard Friedmann (Nathanael, Spalanzani), Peter Weber (Hermann, Schlemi), Vienna Philharmonic Orchestra, James Levine (conductor)
ORFEO C793093D (3CD)",2015-05-23T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmt71
"Mozart, Wolfgang Amadeus",Horn Concertos,"David Pyatt (horn), Academy of St. Martin in the Fields, Sir Neville Marriner (conductor), Kenneth Sillito (violin), Robert Smissen, Stephen Tees (violas), Stephen Orton (cello)
APEX 2564681619 (CD)",2015-05-16T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmmsp
"Walton, WIlliam",Cello Concerto,"Paul Watkins (cello), BBC Symphony Orchestra, Edward Gardner (conductor)
CHANDOS CHSA5153 (Hybrid SACD)",2015-05-09T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmmd6
"Scriabin, Alexander",Prometheus (The Poem of Fire) Op 60,"Martha Argerich (piano)
Berliner Philharmoniker
Claudio Abbado (conductor)
SONY SK53978 (CD)",2015-05-02T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tn4f6
"Verdi, Giuseppe",Macbeth,"Sherrill Milnes (Macbeth), Fiorenza Cossotto (Lady Macbeth), Jose Carreras (Macduff), Ruggero Raimondi (Banco), Giuliano Bernardi (Malcolm), Maria Borgato (Dama), Carlo Del Bosco (Medico), Ambrosian Opera Chorus, New Philharmonia Orchestra, Riccardo Muti (conductor)
WARNER CLASSICS 5099931927024 formerly EMI 3192702 (2CD)",2015-04-25T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmn16
"Purcell, Henry",Music for Queen Mary's Funeral,"Les Trompettes des Plaisirs, Lingua Franca, Vox Luminis, Lionel Meunier
RICERCAR RIC332 (CD)",2015-04-18T00:00:00Z,Kirsten Gibson,http://www.bbc.co.uk/programmes/p02tmmv2
"Tchaikovsky, Pyotr Ilyich",Swan Lake (complete ballet),"The USSR State Academic Symphony Orchestra, Evgeny Svetlanov (conductor)
MELODIYA MELCD1002223 (3CD)",2015-04-11T00:00:00Z,Marina Frolova-Walker,http://www.bbc.co.uk/programmes/p02tn43q
"Sibelius, Jean",Symphony No 4 in A minor,"City of Birmingham Symphony Orchestra, Sakari Oramo (conductor)
ERATO 2564662795 (4CD)",2015-04-04T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmrqs
"Elgar, Edward","Symphony No 2 in E flat, Op 63","Staatskapelle Berlin, Daniel Barenboim (conductor)
DECCA 4786677 (CD)",2015-03-28T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmwrz
"Haydn, Joseph",Missa in Angustiis (Nelson Mass),"Lothar Odinius (Tenor), Roxana Constantinescu (Alto), Markus Eiche (Bass), Letizia Scherrer (Soprano), Michael Nagy (Bass), Maximilian Schmitt (Tenor), Oregon Bach Festival Chorus, Oregon Bach Festival Orchestra, Stuttgart Bach Collegium, Gachinger Kantorei Stuttgart, Helmuth Rilling (conductor)
HANSSLER HAEN98279 (CD)",2015-03-21T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tn2v6
"Bizet, Georges",Carmen,"Top recommendation CD:
Julia Migenes (Carmen), Placido Domingo (Don Jose), Faith Esham (Micaela), Ruggero Raimondi (Escamillo), John Paul Bogart (Zuniga), Francois Le Roux (Morales), Lillian Watson (Frasquita), Susan Daniel (Mercedes), Jean-Philippe Lafont (Le Dancaire), Gerard Garino (Le Remendado), Julien Guiomar (Lillas Pastia), Accurzio di Leo (Un Guide), Choeurs et Maitrise de Radio France, Orchestre National de France, Lorin Maazel (conductor)
ERATO 2564682961 (2CD)",2015-03-14T00:00:00Z,Flora Willson,http://www.bbc.co.uk/programmes/p02tmx0c
"Schumann, Clara",Piano Trio in G minor,"Antje Weithaas (violin), Tanja Tetzlaff (cello), Gunilla Sussmann (piano)
AVIE MUSIC AVI8553294 (CD)",2015-03-07T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmy7h
"Schubert, Franz",Piano Sonata in A major D.959,"Christoph Eschenbach (piano)
BRILLIANT CLASSICS 9189 (6CD)",2015-02-28T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmmmk
"Bach, Johann Sebastian","Magnificat 
BWV 243","BWV243
Carlos Mena, Maria Keohane, Anna Zander, Hans-Jorg Mammel, Stephan MacLeod, Ricercar Consort, Philippe Pierlot (conductor)
MIRARE MIR102 (CD)",2015-02-21T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmmxm
"Ravel, Maurice",Piano Concerto in G major,"Martha Argerich (piano)
WARNER 5099964470122",2015-02-14T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmttd
"Saint-Saëns, Camille","Symphony No 3 in C minor Op 78, “Organ”","Gaston Litaize (Organ), Chicago Symphony Orchestra, Daniel Barenboim
DECCA 4746122 (CD)",2015-02-07T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmmy1
"Beethoven, Ludwig Van",Symphony No 3 ‘Eroica’,"Chamber Orchestra of Europe, Nikolaus Harnoncourt (conductor)
WARNER CLASSICS 2564637792 (14CD)",2015-01-31T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tn379
"Bartók, Béla","Music for Strings, Percussion & Celesta, Sz.106","Budapest Festival Orchestra, Ivan Fischer",2015-01-24T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmmrr
"Berg, Alban",Wozzeck,"Top recommendation on CD:
Franz Grundheber (Wozzeck), Hildegard Behrens (Marie), Walter Raffeiner (Tambourmajor), Philip Langridge (Andres), Heinz Zednik (Hauptmann), Aage Haugland (Doktor), Anna Gonda (Margret), Peter Jelosits (Narr), Alfred Sramek (1.Handwerkbursch), Alexander Maly (2.Handwerkbursch), Vienna Boys Choir, Vienna State Opera Chorus, Vienna Philharmonic Orchestra, Claudio Abbado (conductor)",2015-01-17T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmpy3
"Dvořák, Antonín",String Quartet No 12 in F major Op 96 ‘American’,"Anna Deeva, Keller Quartet
APEX 0927443552 (CD)",2015-01-10T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmmgb
"Palestrina, Giovanni Pierluigi da",Missa Papae Marcelli,"Oxford Camerata, Jeremy Summerly (conductor)
NAXOS 8550573 (CD)",2015-01-03T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmn2k
"Beethoven, Ludwig Van",Piano Trio No 1 Op 70 ‘Ghost’,"Jean-Guihen Queyras (cello), Daniel Sepec (violin), Andreas Staier (fortepiano)
HARMONIA MUNDI HMG508398/99 (2CD)",2014-12-20T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmtfl
"Bruckner, Anton",Symphony No 7,"Concertgebouw Orchestra, Bernard Haitink (conductor)
DECCA 4785690 (CD)",2014-12-13T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tn204
"Bach, Johann Sebastian","Orchestral Suites
BWV 1066-69
","Freiburger Barockorchester
HARMONIA MUNDI HMC902113/14 (2CD)",2014-12-06T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tn0rw
"Schumann, Robert",Symphony No 2 in C,"Orchestre Revolutionnaire et Romantique 
John Eliot Gardiner (conductor)
ARCHIV 457 591-2 (3-CD)",2014-11-29T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmmtc
"Purcell, Henry",Hail! Bright Cecilia (1692),"Taverner Consort, Andrew Parrott (conductor)
VIRGIN 2663562 (3CD)",2014-11-22T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmnny
"Rossini, Gioachino",William Tell,"Gabriel Bacquier (Guillaume Tell), Montserrat Caballe (Mathilde), Nicolai Gedda (Arnaud), Jocelyne Taillon (Hedwige), Mady Mesple (Jemmy), Gwynne Howell (Melchtal), Louis Hendriks (Gesler), Kolos Kovacs (Walter Furst), Royal Philharmonic Orchestra, Lamberto Gardelli (conductor)
WARNER  5099964076324 (4CD)",2014-11-15T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmn56
"Stravinsky, Igor",Petrushka (complete ballet),"City of Birmingham Symphony Orchestra, Sir Simon Rattle (conductor)
EMI 9677112 (2CD)",2014-11-08T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmn9t
"Chopin, Frédéric",Preludes,"Friedrich Gulda (piano)
DG 4778724 (2CD)",2014-11-01T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmsp1
"Strauss, Richard",Oboe Concerto,"Jonathan Small (oboe), Royal Liverpool Philharmonic Orchestra, Gerard Schwarz (conductor)
AVIE AV2071 (2CD)",2014-10-25T00:00:00Z,Sarah Devonald,http://www.bbc.co.uk/programmes/p02tmyq9
"Mozart, Wolfgang Amadeus",Entführung aus dem Serail,"Christine Schafer (Konstanze), Ian Bostridge (Belmonte), Alan Ewing (Osmin), Patricia Petibon (Blonde), Iain Paton (Pedrillo), Jurg Low (Bassa Selim), Les Arts Florissants, William Christie (conductor)
ERATO 2564659884 (2CD)",2014-10-18T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmwmt
"Shostakovich, Dmitri",Symphony No 10 in E minor,"Royal Scottish National Orchestra, Neeme Jarvi (conductor)
CHANDOS CHAN8630 (CD)",2014-10-11T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmvy3
"Brahms, Johannes",Piano Quartet No 1 in G minor Op 25,"Nicholas Angelich (piano), Renaud Capucon (violin), Gerard Causse (viola), Gautier Capucon (cello)
ERATO 5193102 (DOWNLOAD)",2014-10-04T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tn08k
"Holst, Gustav","The Planets, Op 32","c/w BRITTEN: The Young Person's Guide to the Orchestra Op 34
Cincinnati Symphony Orchestra, Paavo Jarvi (conductor)
TELARC CD80743 (CD)",2014-09-27T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmns7
"Handel, George Frideric",Orlando,"Bejun Mehta (Orlando), Sophie Karthauser (Angelica), Kristina Hammarstrom (Medoro), Sunhae Im (Dorinda), Konstantin Wolff (Zoroastro), B'Rock Orchestra, Rene Jacobs (conductor)
DG ARCHIV 4792199 (2CD)",2014-09-20T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmmg3
"Wagner, Richard",Siegfried-Idyll,"Chamber Orchestra of Europe, 
Claudio Abbado)
AUDITE AUDITE95627 (CD)
",2014-07-12T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmntw
"Gluck, Christoph Willibald",Orfeo ed Euridice,"Bejun Mehta (Orfeo), Eva Liebau (Euridice), Regula Muhlemann (Amore), Collegium 1704, Collegium Vocale 1704, Vaclav Luks
ARTHAUS MUSIK 102184 (DVD Video) 108103 (Blu-Ray)",2014-07-05T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmyb4
"Ravel, Maurice",La Valse,"Montreal Symphony Orchestra, Charles Dutoit (conductor)
DECCA 4602142 (2CD)",2014-06-28T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmpwg
"Elgar, Edward",Cello concerto in E minor Op 85,"Truls Mork (cello), City of Birmingham Symphony Orchestra, Sir Simon Rattle (conductor)
WARNER CLASSICS 6158102 (9CD)",2014-06-21T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmsv5
"Rameau, Jean-Philippe",Pieces de Clavecin,"Premiere livre de pieces de clavecin (1706); Pieces de clavecin (1724); Nouvelles suites de pieces de clavecin (1728); Les petits marteaux de M.Rameau; La Daupine (1747)
Christophe Rousset (Harpsichord)
DECCA 4258862 (DOWNLOAD)",2014-06-14T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmngz
"Strauss, Richard",Der Rosenkavalier Op 59,"Elisabeth Schwarzkopf (Marschallin), Christa Ludwig (Octavian), Teresa Stich-Randall (Sophie), Otto Edelmann (Ochs), Eberhard Wachter (Faninal), Ljuba Welitsch (Marianne), Paul Kuen (Valzacchi/Tierhandler), Kerstin Meyer (Annina), Nicolai Gedda (Italian Singer), Philharmonia Chorus, Orchestra, Herbert von Karajan (conductor)
EMI 9668242 (3CD)",2014-06-07T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tn46z
"Schumann, Robert",Kreisleriana Op 16,"Murray Perahia (piano)                               
SONY 88691912562 (67CD 5DVD)",2014-05-31T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tn1by
"Beethoven, Ludwig Van",Symphony No 2 in D major Op 36,"Saarbrucken Radio Symphony Orchestra, Stanislaw Skrowaczewski (conductor)
OEHMS OC522 (2CD)",2014-05-24T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tn3pq
"Mussorgsky, Modest",Songs and Dances of Death,"Eugene Nesterenko (bass), Vladimir Krainev (piano)
MELODIYA MELCD1001401 (CD)",2014-05-17T00:00:00Z,Nicholas Baragwanath,http://www.bbc.co.uk/programmes/p02tmp0n
"Mozart, Wolfgang Amadeus",Le Nozze di Figaro K.492 on DVD,"Erwin Schrott (Figaro), Miah Persson (Susanna), Gerald Finley (Count Almaviva), Dorothea Roschmann (Countess Almaviva), Rinat Shaham (Cherubino), The Royal Opera Chorus, The Orchestra of the Royal Opera House, Antonio Pappano (conductor), David McVicar (stage director)
OPUS ARTE OA0990D (DVD)",2014-05-10T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmzdr
"Tchaikovsky, Pyotr Ilyich",Piano concerto No 1 in Bb minor Op 23,"Martha Argerich (piano), Berliner Philharmonic Orchestra, Claudio Abbado 
DG 4498162 (CD and download)",2014-05-03T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmvw6
"Nielsen, Carl",Symphony No 2 “The Four temperaments”,"London Symphony Orchestra, Ole Schmidt (conductor)
ALTO ALC2505 (3CD)",2014-04-19T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmmzy
"Schubert, Franz",Impromptus D.899,"Radu Lupu (piano)
DECCA 4609752 (CD)",2014-04-12T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmp1l
"Vivaldi, Antonio",Stabat Mater RV 621,"Michael Chance (counter tenor), English Concert, Trevor Pinnock (director)
ARCHIV 477 9586 (2CDs)",2014-04-05T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmnlq
"Copland, Aaron",Appalachian Spring,"Columbia Chamber Ensemble, Aaron Copland (conductor)
SONY SM2K89323 (download)",2014-03-29T00:00:00Z,Mark Lowther,http://www.bbc.co.uk/programmes/p02tn0v6
"Mozart, Wolfgang Amadeus","Mass in C major K.317 ""Coronation""","Barbara Bonney (soprano), Jamie MacDougall (tenor), The English Concert and Choir, Trevor Pinnock (conductor)
ARCHIV 4453532 (CD and download)",2014-03-22T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmxhh
"Handel, George Frideric",Concerto grossi Op 6,"Academy of Ancient Music, Andrew Manze (conductor)
HARMONIA MUNDI HMU907228/29 (2CD)",2014-03-15T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmyzn
"Bernstein, Leonard",West Side Story,"Original Broadway Cast Recording
Carol Lawrence, Larry Kert, Chita Rivera and Art Smith (singers), Max Goberman (conductor)
SONY SK60724",2014-03-08T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmxm3
"Beethoven, Ludwig Van",Symphony No 7 in A major Op 92,"Scottish Chamber Orchestra, 
Sir Charles Mackerras (conductor)
HYPERION CDS44301/5 (5CD)",2014-03-01T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmndw
"Haydn, Joseph",Symphony No 44 in E minor  “Trauer”,"The English Concert, Trevor Pinnock (conductor)
DG ARCHIV 4637312 (6CD and download)",2014-02-22T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmn27
"Purcell, Henry",Songs,"Top recital recommendation: 
Victorious Love - Songs by Henry Purcell
Carolyn Sampson (soprano), Laurence Cummings (harpsichord, spinet), Elizabeth Kenny (archlute, theorbo), Anne-Marie Lasla (bass viol), Sarah Sexton (violin I), Andrea Morris (violin II), Jane Rogers (viola)
BIS BISSACD1536 (Hybrid SACD)",2014-02-15T00:00:00Z,Anna Picard,http://www.bbc.co.uk/programmes/p02tmn3l
"Vaughan Williams, Ralph",Symphony No 9 in E minor,"Royal Liverpool Philharmonic Orchestra, Vernon Handley (conductor)
EMI CLASSICS FOR PLEASURE 5757602 (7CD and download)",2014-02-08T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmx81
"Grieg, Edvard","Piano Concerto in A Minor, Op 16","Sviatoslav Richter (piano), Moscow State Symphony Orchestra, Kirill Kondrashin Live concert recordings from the 1960s
PRAGA DSD350058 (Hybrid SACD)",2014-02-01T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmmh7
"Debussy, Claude",Images (piano),"Noriko Ogawa (piano)
BIS CD 1105 (CD)",2014-01-25T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmtw0
"Monteverdi, Claudio",L'incoronazione di Poppea,"Emanuela Galli (Poppea), Roberta Mameli (Nerone), Jose Maria Lo Monaco (Ottone), Xenia Meijer (Ottavia), Ian Honeyman (Arnalta), Raffaele Costantini (Seneca), La Venexiana, Claudio Cavina (conductor)
GLOSSA GCD920916 (3CD)",2014-01-18T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tn1sx
"Berlioz, Hector",Les nuits d'ete Op 7,"Brigitte Balleys (mezzo-soprano), Orchestre des Champs Elysees, Philippe Herreweghe (conductor)
HARMONIA MUNDI HMG501522 (CD)",2014-01-11T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmmf1
"Schumann, Robert",Symphony No 1 in Bb major Op 38 “Spring”,"Tonhalle Orchestra Zurich
David Zinman (conductor)
ARTE NOVA 82876577432 (2CD)",2014-01-04T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmsqq
"Haydn, Joseph",The Creation,"Julia Kleiter (soprano), Maximilian Schmitt (tenor), Johannes Weisser (bass), RIAS Kammerchor, Freiburger Barockorchester, Rene Jacobs (conductor)
HARMONIA MUNDI HMC902039/40 (2CD)",2013-12-28T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmxv8
"Dvořák, Antonín",Symphony No 6 in D major Op 60,"London Symphony Orchestra, Istvan Kertesz (conductor)
DECCA E4737982 (2CD)",2013-12-21T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmxxv
"Wagner, Richard",Parsifal,"Kurt Moll (Gurnemanz), James King (Parsifal), Yvonne Minton (Kundry), Bernd Weikl (Amfortas), Franz Mazura (Klingsor), Matti Salminen (Titural), Chor des Bayerischen Rundfunks, Tolzer Knabenchor, Symphonieorchester des Bayerischen Rundfunks, Rafael Kubelik 
ARTS ARCHIVES 430272 (4CD)",2013-12-14T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmnxr
"Bach, Johann Sebastian","Cantata “Ich hatte viel Bekümmernis” 
BWV 21","Greta de Reyghere (soprano), Rene Jacobs (alto), Christoph Pregardien (tenor), Peter Lika (bass), Nederland Kamerkoor, La Petite Bande, Sigiswald Kuijken (conductor)
VIRGIN CLASSICS 3632992 (CD)",2013-12-07T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmn39
"Chopin, Frédéric",Ballades,"Krystian Zimerman (piano)
DG E4230902 (CD)",2013-11-30T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmmm0
"Britten, Benjamin",Turn of the Screw Op 54,"Ian Bostridge (Prologue/Peter Quint), Joan Rodgers (Governess), Jane Henschel (Mrs Grose), Vivian Tierney (Miss Jessel), Julian Leang (Miles), Caroline Wise (Flora), Mahler Chamber Orchestra, Daniel Harding (conductor)
ERATO / WARNER CLASSICS 4563792 (2CD ) or 7350072 (13CD box of Britten Operas)",2013-11-16T00:00:00Z,NA,http://www.bbc.co.uk/programmes/p02tmthq
